OSEBuildingID,PrimaryPropertyType,PropertyName,Address,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions
223,Retail Store,Westwood Village - Building A,2600 SW Barton St,3624039009,1,DELRIDGE,1966,1,1,64984,0,64984,Retail Store,65425,45,46.09999847,130.6999969,130.6999969,2944296.25,3016373.5,0,766027.8125,2613687,3306.090088,330609,35.78
224,Retail Store,Westwood Village - Building B,2600 SW Barton St,3624039009,1,DELRIDGE,1965,1,1,67745,0,67745,Retail Store,67782,136.1999969,141.5,223.8999939,227.3000031,9230223,9589728,0,769080.3125,2624102,66061.21094,6606121,369.14
225,K-12 School,Denny/Sealth Campus,2601 SW Kenyon / 2600 SW Thistle,3624039032,1,DELRIDGE,2010,1,2,367884,0,367884,K-12 School,367884,33.29999924,36.09999847,81.59999847,85.90000153,12265516,13279344,0,2404753.75,8205020,40604.95703,4060496,272.85
226,K-12 School,Roxhill Elementary,9430 30th Ave. S.W.,3624039057,1,DELRIDGE,1958,1,1,46797,0,46797,K-12 School,46797,44.40000153,50.90000153,82.19999695,91.5,2075891,2380144.5,0,233647.0938,797204,12786.87207,1278687,73.47
227,K-12 School,Washington Middle,2101 S. Jackson,3646100540,3,CENTRAL,1963,1,3,136188,0,136188,K-12 School,136188,0,0,0,0,0,0,0,0,0,32178.77344,3217877,170.9
228,Other,Webster Building,3014 NW 67th St.,3693901110,6,BALLARD,1973,1,3,56000,0,56000,Other,56000,33.09999847,37.29999924,66.19999695,70.69999695,1851260.5,2088978.125,0,247615.5938,844864,10063.95996,1006396,59.34
229,K-12 School,Martin Luther King Jr. Elementary,6725 45th Ave S,3812400550,2,SOUTHEAST,2004,1,2,67371,0,67371,K-12 School,67371,31.60000038,33.59999847,78,80.09999847,2128459,2260359.75,0,423604.5938,1445339,6831.19873,683120,46.36
230,Self-Storage Facility,U-Haul Moving and Storage of West Seattle,6343 35th Ave SW,3874900040,1,SOUTHWEST,1969,1,2,52088,0,52088,Self-Storage Facility,52088,26.39999962,30.29999924,48.79999924,53.70000076,1377519.5,1576122.875,0,153506.7031,523765,8537.545898,853755,48.99
231,K-12 School,Hamilton International Middle,1610 N. 41st St.,4083301505,4,LAKE UNION,2010,1,3,127776,0,127776,K-12 School,127776,37.20000076,39.09999847,100,103.5,4748137,4998584.5,0,1093179.875,3729930,10182.06738,1018207,80.08
232,Hotel,Silver Cloud Inn,1150 Fairview Ave N,4088802955,3,LAKE UNION,1998,1,5,123920,30000,93920,Hotel,123920,75.59999847,78.09999847,148.1999969,152.1999969,9373179,9676783,0,1195550.25,4079217,52939.60938,5293961,309.6
233,Other,Armory Building,860 Terry Ave N,4088803210,3,LAKE UNION,1900,1,1,50000,0,50000,Museum,43000,175.6000061,184.6999969,368.8999939,373.7000122,7548807,7942537.5,0,1113108,3797924,37508.82031,3750882,225.69
234,Warehouse,SCL Roy Street Warehouse,802 Roy St,4088803530,7,MAGNOLIA / QUEEN ANNE,1926,1,2,50292,0,50292,Non-Refrigerated Warehouse,42345,8,8,25.10000038,25.10000038,430473.6875,430473.6875,0,126164.6016,430474,0,0,3
235,Hotel,311jk-Seattle Downtown/Lake Union CY,925 Westlake Ave North,4088803586,7,MAGNOLIA / QUEEN ANNE,1998,1,7,207656,54341,153315,Hotel,141591,78.90000153,83,164.5,171.3999939,11171988,11754087,0,1620980.875,5530787,56412.00391,5641200,338.16
237,K-12 School,Whittier Elementary,1320 NW 75th St.,4240400005,6,BALLARD,1999,1,2,67235,0,67235,K-12 School,67235,34,36.29999924,84.30000305,86.80000305,2284133.75,2443194,0,458595.4063,1564728,7194.061523,719406,49.12
238,Small- and Mid-Sized Office,North Service Center,1300 N 97th ST,4310701070,5,NORTHWEST,1957,1,2,91130,0,91130,Office,57968,100.5,106.0999985,262.7000122,272.2000122,9472358,10005492,0,2079127.75,7093984,23783.73047,2378373,175.77
239,K-12 School,Gatewood Elementary,4320 SW Myrtle,4315700020,1,SOUTHWEST,1991,1,3,58118,0,58118,K-12 School,59014,23.79999924,25.70000076,66.09999847,69.59999847,1407277.25,1519074.75,0,339524.3125,1158457,2488.200928,248820,21.29
241,Hotel,Hotel Nexus,2140 N. Northgate Way,4468400005,5,NORTHWEST,1968,1,4,64893,0,64893,Hotel,64893,95.5,95.69999695,184.6999969,185.3999939,6197825,6211749.5,0,768038.625,2620548,35772.76953,3577277,208.26
242,K-12 School,Olympic View Elementary,504 N.E. 95th St.,5100404840,5,NORTH,1989,1,2,52792,0,52792,K-12 School,55480,0,0,0,0,0,0,0,0,0,0,0,0
243,K-12 School,Van Asselt Building - Old,7201 Beacon Ave. S.,5129000050,2,GREATER DUWAMISH,1925,1,1,70762,0,70762,K-12 School,70762,51,58.5,68,76.5,3606416,4138032.75,0,143935,491106,31153.0957,3115310,168.88
244,Small- and Mid-Sized Office,Washington Park Building,76-80 S washington st,5247800030,7,DOWNTOWN,1900,1,3,44558,0,44558,Office,34416,37.59999847,38.59999847,101.3000031,103.6999969,1677002.25,1722053,0,386177.4063,1317637,3593.650146,359365,28.27
245,Other,CenturyLink,800 Occidental Ave. South,7666204876,2,GREATER DUWAMISH,1999,1,6,1585960,327680,1258280,Other - Entertainment/Public Assembly,1585960,37.70000076,39.20000076,104.6999969,106.3000031,59757440,62160304,0,14490010,49439914,103175.1797,10317518,892.63
247,Distribution Center,SCL SSC Building A,3613 4th Ave S,7666205660,2,GREATER DUWAMISH,1924,1,2,179161,0,179161,Distribution Center,117476,52.20000076,56.29999924,156.3000031,167.6000061,9436408,10168523,0,2570956.75,8772104,6643.02002,664302,96.43
248,Warehouse,SCL SSC Building B,3613 4th Ave S,7666205660,2,GREATER DUWAMISH,1965,1,2,58640,0,58640,Non-Refrigerated Warehouse,40831,55.90000153,61.5,175.3999939,193.1999969,3928695.25,4327563.5,0,1151434.625,3928695,0,0,27.39
249,Other,Safeco Field,1250 First Avenue South,7666206483,2,GREATER DUWAMISH,1999,1,3,1172127,0,1172127,Other - Entertainment/Public Assembly,1172127,50.09999847,49,125.0999985,121.4000015,58761304,57406988,0,11905739,40622381,181389.2031,18138920,1246.55
250,Hotel,Silver Cloud Hotel - Stadium,1046 1st Ave S,7666206720,2,GREATER DUWAMISH,2005,1,9,168449,14567,153882,Hotel,135006,88.19999695,89.19999695,183,182.6999969,12726789,12871628,0,1826563,6232233,64945.55078,6494555,388.37
257,Warehouse,Harbor Island: Warehouse E - DNRP-SWD,3235 16TH AVE SW,7666703020,1,GREATER DUWAMISH,1916,0,4,79600,0,79600,Non-Refrigerated Warehouse,79600,30.29999924,30.29999924,95.09999847,95.09999847,2411402.25,2411402.25,0,706741.5,2411402,0,0,16.81
260,K-12 School,Lincoln Building,4400 Interlake Ave N,7821200700,4,LAKE UNION,1997,1,4,241066,0,241066,K-12 School,241066,32.29999924,36.90000153,60.79999924,66.19999695,7791957,8886716,0,907478.3125,3096316,46956.40625,4695641,270.97
261,Large Office,South Park,1420 S Trenton,7883608601,1,GREATER DUWAMISH,1980,14,2,334368,31874,302494,Office,240984,159.8999939,161.8999939,451.2000122,453.2999878,53466684,54136068,0,13282936,45321378,81453,8145300,748.55
263,Other,Building 1,316 NE Thornton Place,8632880000,5,NORTH,2008,1,6,419848,335109,84739,Parking,335109,107.8000031,109,285.7000122,285.1000061,9134963,9238992,0,2050189.25,6995246,21397.16016,2139716,162.41
264,Mixed Use Property,TriBeCa,516 1st Ave W,8681450000,7,MAGNOLIA / QUEEN ANNE,2002,1,4,110785,0,110785,Multifamily Housing,58563,95.30000305,98.09999847,291.3999939,299,10557910,10864032,0,2971733.5,10139555,4183.540039,418354,92.91
265,Mid-Rise Multifamily,YWCA Opportunity Place,2024 3rd Avenue,8729690000,7,DOWNTOWN,2003,1,7,116947,0,116947,Multifamily Housing,81740,79.90000153,83.09999847,175.3999939,178.8000031,10040121,10442680,0,1612727.625,5502627,45374.94141,4537494,279.35
267,Hotel,Grand Hyatt Seattle,721 Pine St,6792120000,7,DOWNTOWN,1999,1,0,934292,0,934292,Hotel,495536,117.9000015,120.5,272.8999939,278.2000122,65047284,66502836,0,11536962,39364114,256831.625,25683162,1638.46
268,Hospital,Swedish Cherry Hill,500 17th Ave,7942600331,3,CENTRAL,1990,6,5,597519,0,597519,Hospital (General Medical & Surgical),601615,238.3999939,244.8000031,454.3999939,459.2000122,143423024,147299056,0,17220084,58754927,846680.9375,84668094,4906.33
273,K-12 School,Highland Park Elementary,1012 S.W. Trenton St.,7972603210,1,DELRIDGE,1999,1,1,71714,0,71714,K-12 School,71714,33.09999847,34.5,91.40000153,93.90000153,2371358,2470597.75,0,569817.125,1944216,4271.419434,427142,36.24
274,Warehouse,27020-Seattle / Stone Way North,3600 Stone Way North,8033700250,4,LAKE UNION,1991,1,3,75397,8161,67236,Non-Refrigerated Warehouse,67236,8.199999809,8.5,21.70000076,22.10000038,549181.375,571637.5,0,124086,423381,1258,125800,9.63
276,Hospital,Harborview Medical Center,325 9th Ave.,8590900220,3,EAST,2000,9,8,1158691,0,1158691,Hospital (General Medical & Surgical),1350182,217.1000061,219.6999969,502.8999939,502.7999878,293090784,296671744,122575032,49438336,168683602,18321.29102,1832129,10734.57
278,Senior Care Community,ID Village Square 1,802 S. Dearborn St.,8592900105,2,DOWNTOWN,1999,1,5,102796,12611,90185,Senior Care Community,55259,98.30000305,100,254.3000031,256.1000061,10105379,10281401,0,2177261.5,7428816,26765.61133,2676561,193.94
279,K-12 School,West Seattle High,3000 California Ave SW,8702100050,1,SOUTHWEST,2002,1,2,208981,0,208981,K-12 School,208981,39.09999847,43.20000076,90,95.19999695,8164853,9030149,0,1434598.625,4894851,32700.02148,3270002,207.79
280,Mid-Rise Multifamily,Wintonia,1431 Minor Ave,8725600350,7,EAST,1909,1,6,51976,0,51976,Multifamily Housing,50350,83.19999695,89,156.8000031,162.8999939,4189569.25,4480534.5,0,490372.4063,1673151,25164.1875,2516419,145.31
281,K-12 School,University HTS Grade School,5031 University Way NE,8816400900,4,NORTHEAST,1928,1,2,55653,0,55653,K-12 School,55500,24.79999924,28.79999924,26.29999924,30.5,1377627,1597907.25,0,1798.900024,6138,13714.89063,1371489,72.88
282,Hotel,Hotel Deca,4507 Brooklyn Ave NE,8817400055,4,NORTHEAST,1931,1,16,106860,0,106860,Hotel,106860,111.6999969,118.0999985,186.8999939,190.6999969,11935719,12616417,0,1043886.875,3561742,83739.75781,8373976,469.57
283,Small- and Mid-Sized Office,Lake City Center,12360 Lake City Way NE,8822900465,5,NORTH,1972,1,5,50759,0,50759,Office,47079,62,65.40000153,170.3999939,174.1000061,3147042,3321734,0,749863.125,2558533,5885.089844,588509,49.09
284,Worship Facility,University Congregational United Church of Christ,4505 16TH AVE NE,8823902255,4,NORTHEAST,1952,1,2,56772,0,56772,Worship Facility,56772,43,48.70000076,81,87.80000305,2439484.75,2762805.5,0,285789.1875,975113,14643.7207,1464372,84.57
285,Worship Facility,University Presbyterian Church,4540 15th Avenue NE,8823902325,4,NORTHEAST,1952,1,3,103000,0,103000,Worship Facility,103000,47.09999847,52.29999924,96.90000153,102.4000015,4854429.5,5391782,0,685356,2338435,25159.94531,2515995,149.93
286,K-12 School,Roosevelt High,1410 N.E. 66th St.,8826900005,4,NORTHEAST,2006,1,3,269297,0,269297,K-12 School,269297,39,41.59999847,96.80000305,99.59999847,10498344,11208195,0,2111361.25,7203965,32943.78516,3294379,225.19
287,K-12 School,Bryant Elementary,3311 N.E. 60th,8827900180,4,NORTHEAST,2001,1,3,75174,0,75174,K-12 School,75174,36.40000153,40.09999847,82.40000153,87.59999847,2733846,3011741.75,0,465868.5,1589543,11443.02246,1144302,71.86
289,K-12 School,Frantz Coe Elementary,2424 7th Ave W.,9270200005,7,MAGNOLIA / QUEEN ANNE,2003,1,3,75214,0,75214,K-12 School,75214,31,32.70000076,80.80000305,82.5,2334260,2457326.25,0,508113.9063,1733685,6005.752441,600575,43.98
290,K-12 School,Madison Middle,3429 45th Ave. S.W.,9278300005,1,SOUTHWEST,2005,1,3,134918,0,134918,K-12 School,134918,28.29999924,30.60000038,74.59999847,79,3822102.5,4135198.25,0,848506.625,2895105,9269.976563,926998,69.42
291,K-12 School,Thurgood Marshall Elementary,2401 S. Irving St.,9344400300,3,CENTRAL,1991,1,2,64414,0,64414,K-12 School,65310,35.09999847,37.59999847,110.3000031,117.9000015,2295176.5,2453255.5,0,672677.6875,2295176,0,0,16
292,K-12 School,John Marshall Building,520 N.E. Ravenna Blvd.,9528103775,6,NORTHWEST,1927,1,3,92437,0,92437,K-12 School,92437,50,57.09999847,74.40000153,81.90000153,4626443,5280739,0,283665.3125,967866,36585.76953,3658577,201.05
293,Other,ACT Theatre,700 Union St,2141290000,7,DOWNTOWN,1914,1,7,128766,0,128766,Other - Entertainment/Public Assembly,109754,47,47,142.3999939,142.3999939,6057410,6057410,0,1680143.5,5732650,3247.596436,324760,57.21
294,Residence Hall,Women's Residence at Seneca,1118 5th Avenue,2301950000,7,DOWNTOWN,1913,1,9,107572,0,107572,Residence Hall/Dormitory,63934,54.79999924,57.79999924,113.5,117.0999985,5572503,5879083,3076446.5,731552.1875,2496056,0,0,254.87
295,Other,1122 3rd Ave,1122 3rd Ave,2302700000,7,DOWNTOWN,1955,1,15,230880,0,230880,Other,203000,306.3999939,303.7999878,962.0999756,954,62197176,61674856,0,18228948,62197171,0,0,433.6
296,Low-Rise Multifamily,Cooper School Artist's Lofts,4408 Delridge Way SW,3388120000,1,DELRIDGE,1917,1,4,56617,0,56617,Multifamily Housing,56617,35.09999847,38.59999847,80.80000305,88.40000153,1986611.375,2185550.5,0,349325.6875,1191899,7947.119629,794712,50.52
297,Mid-Rise Multifamily,LAKE CITY COURT,12730 33RD AVE NE,3993000000,5,NORTH,2009,1,6,56745,0,56745,Multifamily Housing,43673,56.59999847,59,133.8999939,138.5,2473962.5,2574628.5,0,455824.8125,1555274,9186.879883,918688,59.63
299,Low-Rise Multifamily,Othello Building,3815 S Othello St,6434000000,2,GREATER DUWAMISH,2003,1,4,67920,0,67920,Multifamily Housing,24600,63.09999847,65.19999695,193.3999939,199.1999969,2772124.75,2864132.5,0,784061.125,2675217,969.0799561,96908,23.8
300,K-12 School,Cleveland STEM High,5511 15th Ave. S.,7549802085,2,GREATER DUWAMISH,2007,1,3,204961,0,204961,K-12 School,204961,40,43.59999847,88.09999847,92,8190809,8935423,0,1327293.75,4528726,36620.82031,3662082,226.06
302,Other,Seattle ReadCntr (50/50),Readiness Center - Pier 91,7666201147,7,MAGNOLIA / QUEEN ANNE,1973,1,1,76086,0,76086,Other,77810,42,46,86.09999847,90.30000305,3267564,3576720,0,458196.3125,1563366,17041.97852,1704198,101.41
313,Medical Office,BMR-201 Elliott Avenue LLC,201 Elliott Avenue West,7666202190,7,MAGNOLIA / QUEEN ANNE,1927,1,5,190000,39000,151000,Medical Office,146741,183.5,183.5,443,443,28731502,28731502,0,5493974.5,18745441,99860.58594,9986059,661.04
314,Hotel,Edgewater Seattle,2411 Alaskan Way,7666202317,7,DOWNTOWN,1961,1,4,122309,0,122309,Hotel,122309,208.1000061,213.6000061,326.6000061,330.2999878,25453690,26122018,0,1853028.5,6322533,191311.5469,19131155,1060.13
315,Other,P66 Bell Harbor International Conference Center & Cruise Terminal.,2225 Alaskan Way,7666202325,7,DOWNTOWN,1995,4,3,215476,0,215476,Other,217088,110.5999985,113.3000031,248.8999939,251.8000031,24017770,24606366,0,4041281.75,13788853,102289.1641,10228916,639.39
316,Hotel,337v2-Seattle Waterfront Marriott,2100 Alaskan Way,7666202345,7,DOWNTOWN,2003,1,8,254273,38800,215473,Hotel,277000,96.19999695,96.90000153,204.8999939,205,26659244,26831896,0,4033863.5,13763542,128957,12895700,780.84
